Type;Code
Class/Interface;Animal
Variable;species
Variable;isMammal
Variable;habitat
Method;displayInfo()
Class/Interface;BankAccount
Variable;accountId
Variable;balance
Method;deposit(double)
Method;withdraw(double)
Method;getAccountInfo()
Class/Interface;Book
Variable;title
Variable;author
Variable;pages
Method;getTitle()
Method;getAuthor()
Method;getPages()
Class/Interface;Calculator
Method;add(int, int)
Method;subtract(int, int)
Method;multiply(int, int)
Method;divide(int, int)
Class/Interface;Course
Variable;courseName
Variable;courseCode
Variable;credits
Method;displayCourseInfo()
Class/Interface;Employee
Variable;id
Variable;name
Variable;salary
Method;raiseSalary(double)
Method;getInfo()
Class/Interface;Flight
Variable;flightNumber
Variable;airline
Variable;capacity
Variable;bookedSeats
Method;bookSeat()
Method;getFlightDetails()
Class/Interface;GardenPlant
Variable;name
Variable;season
Variable;isPerennial
Method;displayPlantDetails()
Class/Interface;HelloWorld
Method;main(String[])
Class/Interface;Library
Variable;name
Variable;numberOfBooks
Method;addBook(int)
Method;lendBook(int)
Method;getInfo()
Class/Interface;MusicTrack
Variable;title
Variable;artist
Variable;duration
Method;playTrack()
Class/Interface;Patient
Variable;name
Variable;age
Variable;illness
Method;getPatientInfo()
Class/Interface;Person
Variable;name
Variable;age
Method;getName()
Method;getAge()
Method;birthday()
Class/Interface;Quiz
Variable;topic
Variable;questions
Variable;score
Method;addQuestion(String)
Method;takeQuiz()
Method;updateScore(int)
Method;getQuizResults()
Class/Interface;Rectangle
Variable;length
Variable;width
Method;calculateArea()
Method;calculatePerimeter()
Method;getDimensions()
Class/Interface;ShoppingCart
Variable;items
Method;addItem(String, int)
Method;removeItem(String, int)
Method;displayCartContents()
Class/Interface;Task
Variable;title
Variable;dueDate
Variable;isCompleted
Method;markAsCompleted()
Method;getTaskDetails()
Class/Interface;Timer
Variable;hours
Variable;minutes
Variable;seconds
Method;tick()
Method;getTime()
Class/Interface;Vehicle
Variable;type
Variable;maxSpeed
Method;displayInfo()
Class/Interface;Weather
Variable;city
Variable;temperature
Method;getWeatherReport()
Method;updateTemperature(double)
